Document,URL,Type of source,Created On,Has Origin,Has Author,Author's Institution,Type of Institution of Author,Document Reference Link
1977 The Combahee River Collective Statement,https://www.jstor.org/stable/24365010,Article,Fall/Winter 2014,Black Disability,The Combahee River Collective,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=1977_The_Combahee_River_Collective_Statement&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
A Paradoxical History of Black Disease by Cyrée Jarelle Johnson,https://disabilityvisibilityproject.com/2020/05/14/a-paradoxical-history-of-black-disease/,Blog,"MAY 14, 2020 ",Black Disability,Cyrée Jarelle Johnson,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=A_Paradoxical_History_of_Black_Disease_by_Cyre_Jarelle_Johnson&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
Autistic while black How autism amplifies stereotypes by Catina Burkett,https://www.spectrumnews.org/opinion/viewpoint/autistic-while-black-how-autism-amplifies-stereotypes/,Blog,  21 JANUARY 2020,Black Disability,Catina Burkett,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=Autistic_while_black__How_autism_amplifies_stereotypes_by_Catina_Burkett&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
Black Disability Gone Viral word,https://muse.jhu.edu/article/787296,Article,March 2021,Black Disability,Sami Schlak,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=Black_Disability_Gone_Viral-_A_Critical_Race_Approach_to_Inspiration_Porn_by_Sami_Schalk&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
Developing and Reflecting on a Black Disability Studies Pedagogy,https://dsq-sds.org/article/view/4637,Article,2015-05-19,Black Disability,Sami Schlak and multiple others.,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=Developing_and_Reflecting_on_a_Black_Disability_Studies_Pedagogy_&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
Disability Justice Is an Essential Part of Abolishing Police and Prisons by Talila TL Lewis,https://level.medium.com/disability-justice-is-an-essential-part-of-abolishing-police-and-prisons-2b4a019b5730,Blog,"Oct 7, 2020",Black Disability,Talia TL Lewis,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=Disability_Justice_Is_an_Essential_Part_of_Abolishing_Police_and_Prisons_by_Talila__TL__Lewis&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
End the war on black health and black disabled people report word,https://m4bl.org/policy-platforms/end-the-war-black-health/,Blog,,Black Disability,,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=End_the_War_on_Black_Health_and_Black_Disabled_People&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
"For Disabled Sex Workers, Congress Anti-Trafficking Legislation Is Life Threatening by Cyrée Jarelle Johnson",https://rewirenewsgroup.com/article/2018/07/12/disabled-sex-workers-congress-anti-trafficking-legislation-life-threatening/,Blog,12/07/2018,Black Disability,,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=For_Disabled_Sex_Workers_Congress__Anti-Trafficking_Legislation_Is_Life_Threatening_by_Cyre_Jarelle_Johnson&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
How I Relate to the DAPL Protests as a Black Woman by Keah Brown,https://www.teenvogue.com/story/how-i-relate-to-the-dapl-protests-as-a-black-woman,Blog,"DECEMBER 2, 2016",Black Disability,Keah Brown,,,https://qanswer-core1.univ-st-etienne.fr/resource/access_pdf?filename=How_I_Relate_to_the_DAPL_Protests_as_a_Black_Woman_by_Keah_Brown&session_id=be419706-9990-4de1-bf1f-9960f909f530&text=no_reader_applied
"Im a Black, Trans, Disabled Model-- And I Just Got Signed to a Major Agency by Aaron Philip",https://www.them.us/story/aaron-philip-signed-to-modeling-agency,Blog,"September 4, 2018",Black Disability,,,,
